MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontagenan,MasVnrAreanan,GarageYrBltnan
0.0,0.75,0.16438,0.31787,1.0,1.0,0.33333,0.66667,1.0,1.0,0.5,0.75,0.5,0.66667,1.0,0.71429,0.33333,0.625,0.39706,0.23333,0.6,0.57143,0.64286,0.66667,0.25,0.0,0.33333,1.0,0.4,0.75,0.75,1.0,0.33333,0.19773,0.83333,0.0,0.10616,0.22324,1.0,1.0,1.0,1.0,0.29884,0.0,0.0,0.2354,0.33333,0.0,0.33333,0.0,0.25,0.33333,0.66667,0.27273,0.5,0.66667,0.8,0.83333,0.50467,1.0,0.5,0.37306,0.6,1.0,1.0,0.26138,0.25046,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.18182,0.5,0.5,0.8,1.0,0.0,0.0
0.23529,0.75,0.24658,0.06605,1.0,1.0,0.0,0.33333,1.0,0.5,0.0,1.0,0.5,0.66667,1.0,0.85714,0.77778,0.5,0.05882,0.13333,0.8,0.28571,0.78571,0.8,0.5,0.40625,0.66667,1.0,1.0,0.75,0.75,0.25,0.83333,0.0,0.83333,0.0,0.48844,0.18674,1.0,0.75,1.0,1.0,0.18356,0.53172,0.0,0.35069,0.0,0.0,0.66667,0.5,0.5,0.33333,0.66667,0.63636,1.0,0.33333,0.6,1.0,0.07477,1.0,0.5,0.29619,0.6,1.0,1.0,0.16803,0.22486,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.54545,0.0,0.5,0.2,0.0,0.0,0.0
0.17647,0.75,0.13356,0.04346,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.33333,0.5,0.66667,1.0,0.28571,0.55556,0.5,0.61029,0.96667,0.2,0.28571,0.28571,0.33333,0.25,0.0,0.33333,1.0,1.0,0.5,0.75,0.25,0.16667,0.07495,0.83333,0.0,0.32449,0.19329,1.0,0.25,1.0,1.0,0.23565,0.14722,0.0,0.24135,0.0,0.0,0.66667,0.0,0.5,0.33333,0.33333,0.36364,1.0,0.33333,0.8,0.33333,0.7757,0.33333,0.5,0.40621,0.6,1.0,1.0,0.39907,0.0,0.23188,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.45455,0.5,0.5,0.8,0.0,0.0,0.0
0.0,0.75,0.16438,0.09696,1.0,1.0,0.0,0.33333,1.0,0.0,0.0,0.16667,0.5,0.66667,1.0,0.71429,0.33333,0.625,0.38971,0.88333,0.2,0.28571,0.78571,0.8,0.25,0.0,0.33333,1.0,0.4,0.5,0.75,0.25,0.66667,0.18763,0.83333,0.0,0.03211,0.1856,1.0,1.0,1.0,0.75,0.19838,0.0,0.0,0.152,0.0,0.0,0.33333,0.0,0.375,0.33333,0.33333,0.27273,1.0,0.0,0.2,0.83333,0.49533,0.66667,0.25,0.20028,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.27273,0.75,0.5,0.8,1.0,0.0,0.0
0.58824,1.0,0.13014,0.01825,1.0,0.5,1.0,0.33333,1.0,0.0,0.0,0.79167,0.5,0.66667,0.75,0.71429,0.66667,0.5,0.02941,0.06667,0.2,0.28571,0.28571,0.33333,0.25,0.0,0.66667,1.0,1.0,0.75,0.75,0.5,1.0,0.00283,0.83333,0.0,0.58861,0.22766,1.0,1.0,1.0,1.0,0.23588,0.0,0.0,0.18313,0.0,0.0,0.66667,0.0,0.25,0.33333,0.66667,0.18182,1.0,0.0,0.2,0.83333,0.03738,0.66667,0.5,0.37377,0.6,1.0,1.0,0.18203,0.28885,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.54545,0.5,0.5,0.8,0.0,0.0,0.0
0.29412,0.75,0.16781,0.05675,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.70833,0.5,0.66667,1.0,0.85714,0.77778,0.875,0.55147,0.21667,0.8,0.28571,0.71429,0.73333,0.25,0.0,0.66667,1.0,0.4,0.75,1.0,0.25,0.16667,0.05262,0.83333,0.0,0.23801,0.13961,1.0,0.5,1.0,1.0,0.27245,0.57046,0.0,0.43985,0.0,0.0,0.66667,0.5,0.375,0.33333,0.66667,0.63636,0.66667,0.66667,0.6,0.33333,0.70093,0.33333,0.5,0.3103,0.6,1.0,1.0,0.0,0.13528,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,1.0,0.25,0.5,0.8,0.0,0.0,0.0
0.0,0.75,0.18151,0.02796,1.0,1.0,0.0,0.33333,1.0,0.0,0.0,0.41667,0.5,0.66667,1.0,0.71429,0.44444,0.75,0.39706,0.16667,0.2,0.28571,0.28571,0.33333,0.25,0.0,0.33333,1.0,0.4,0.5,0.75,0.25,0.33333,0.04394,0.5,0.16282,0.19178,0.15319,1.0,1.0,1.0,1.0,0.13056,0.0,0.0,0.0957,0.33333,0.0,0.33333,0.0,0.25,0.33333,0.33333,0.09091,1.0,0.0,0.2,0.83333,0.50467,1.0,0.25,0.21721,0.6,1.0,1.0,0.0,0.0,0.14493,0.0,0.33333,0.0,0.0,1.0,0.75,0.0,0.36364,1.0,0.5,0.8,0.0,0.0,0.0
0.23529,0.75,0.16438,0.04175,1.0,1.0,0.33333,0.33333,1.0,0.0,0.0,0.58333,0.5,0.66667,1.0,0.85714,0.55556,0.5,0.04412,0.1,0.2,0.28571,0.78571,0.8,0.25,0.0,0.33333,1.0,1.0,0.75,0.75,0.25,0.83333,0.0,0.83333,0.0,0.40796,0.15597,1.0,1.0,1.0,1.0,0.13449,0.34431,0.0,0.23559,0.0,0.0,0.66667,0.5,0.375,0.33333,0.33333,0.36364,1.0,0.33333,0.6,0.83333,0.05607,0.66667,0.5,0.3244,0.6,1.0,1.0,0.11669,0.07313,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.5,0.8,1.0,0.0,0.0
0.17647,0.25,0.16438,0.02693,1.0,1.0,0.0,0.33333,1.0,0.0,0.0,0.20833,0.5,0.66667,1.0,0.28571,0.66667,0.75,0.60294,0.96667,0.2,0.28571,0.35714,0.26667,0.25,0.0,0.33333,1.0,1.0,0.5,0.75,0.25,0.83333,0.0,0.83333,0.0,0.24486,0.09362,1.0,0.5,1.0,1.0,0.0463,0.26102,0.0,0.12932,0.0,0.0,0.33333,0.0,0.25,0.33333,0.33333,0.18182,1.0,0.33333,0.8,0.33333,0.24299,0.33333,0.25,0.2031,0.6,1.0,1.0,0.0,0.0,0.31884,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.63636,0.5,0.5,0.8,1.0,0.0,0.0
0.0,0.75,0.17808,0.06478,1.0,1.0,0.0,0.33333,1.0,0.0,0.0,0.66667,0.5,0.66667,1.0,0.71429,0.66667,0.5,0.09559,0.21667,0.8,0.28571,0.78571,0.8,0.5,0.1225,0.66667,1.0,1.0,0.75,0.75,1.0,1.0,0.12225,0.83333,0.0,0.34846,0.24615,1.0,1.0,1.0,1.0,0.26204,0.0,0.0,0.20484,0.33333,0.0,0.66667,0.0,0.375,0.33333,0.66667,0.27273,1.0,0.33333,0.6,0.83333,0.1215,1.0,0.5,0.33709,0.6,1.0,1.0,0.13419,0.12066,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.45455,0.75,0.5,0.8,0.0,0.0,0.0
0.82353,0.25,0.0,0.00233,1.0,1.0,0.0,0.33333,1.0,0.0,0.0,0.08333,0.5,0.66667,0.75,0.85714,0.55556,0.25,0.27206,0.61667,0.2,0.28571,0.57143,0.6,0.5,0.3775,0.33333,1.0,0.4,0.5,0.75,0.25,0.66667,0.06343,0.83333,0.0,0.05351,0.07905,1.0,0.5,1.0,1.0,0.02569,0.24407,0.0,0.1055,0.0,0.0,0.33333,0.5,0.25,0.33333,0.33333,0.18182,1.0,0.0,0.2,0.33333,0.34579,0.33333,0.25,0.18618,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.63636,0.5,0.5,0.8,0.0,0.0,0.0
0.23529,0.75,0.12671,0.09674,1.0,1.0,0.33333,0.33333,1.0,0.0,0.0,0.58333,0.5,0.66667,1.0,0.85714,0.66667,0.5,0.0,0.0,0.2,0.28571,0.78571,0.8,0.25,0.0,0.66667,1.0,1.0,0.75,1.0,0.75,1.0,0.09816,0.83333,0.0,0.04281,0.10704,1.0,1.0,1.0,1.0,0.06759,0.40291,0.0,0.20331,0.33333,0.0,0.66667,0.5,0.375,0.33333,0.66667,0.36364,1.0,0.33333,0.8,0.83333,0.0,0.66667,0.5,0.30042,0.6,1.0,1.0,0.11669,0.04388,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.72727,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.75,0.18493,0.05724,1.0,1.0,0.0,0.33333,1.0,0.5,0.0,0.66667,0.5,0.66667,1.0,0.71429,0.44444,0.625,0.25,0.56667,0.2,0.28571,0.57143,0.6,0.25,0.0,0.33333,1.0,0.4,0.5,1.0,0.75,0.5,0.03225,1.0,0.48304,0.0,0.14632,1.0,0.5,1.0,1.0,0.12083,0.0,0.0,0.08762,0.33333,0.0,0.33333,0.0,0.375,0.33333,0.33333,0.18182,1.0,0.0,0.2,0.83333,0.31776,0.33333,0.25,0.21721,0.6,1.0,1.0,0.4259,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.09091,1.0,0.5,0.8,0.0,0.0,0.0
